Course	Code	CRN	Type	Dates	Days	Start	Finish	Room
PERF	324	15645	L1	Trimester 2	R	14:10	16:00	MUW1C50
PERF	334	15651	L1	Trimester 1 + Trimester 2	TR	15:10	18:00	MS301
PERF	335	15653	L1	Trimester 1 + Trimester 2	R	15:10	18:00	MS209
PERF	335	15653	L1	Trimester 2	W	11:00	12:50	MS301
PERF	336	15807	L1	Trimester 1 + Trimester 2	R	14:10	15:00	 
PERF	336	15807	L1	Trimester 1 + Trimester 2	T	15:10	17:00	 
PERF	345	15603	L1	Trimester 2	W	11:00	12:50	MS209
PERF	345	15603	L1	Trimester 2	M	11:00	11:50	MS209
PERF	352	18246	L1	Trimester 2	W	15:10	17:00	MS303
PERF	352	18246	L1	Trimester 2	F	15:10	16:00	MS303
PERF	SEM	 	Concert	Trimester 1 + Trimester 2	F	12:00	12:50	MS301
PERF	SEM	 	Jazz Wkshp	Trimester 1 + Trimester 2	F	13:10	15:00	MUWHALL
PERF	SEM	 	Wkshp 1	Trimester 1 + Trimester 2	F	13:10	15:00	MS301
PERF	SEM	 	Wkshp 2	Trimester 1 + Trimester 2	F	15:10	17:00	MS301
 	 	 	 	 	 	 	 	 
PGEO	401	13747	L1	Trimester 2	W	13:10	16:00	CO523A
 	 	 	 	 	 	 	 	 
PHIL	105	1004	L1	Trimester 2	MWF	9:00	9:50	MCLT103
PHIL	105	1004	L1-Tut	Trimester 2 starts 2nd week	T	9:00	9:50	KK204
PHIL	105	1004	L1-Tut	Trimester 2 starts 2nd week	W	16:10	17:00	KK203
PHIL	105	1004	L1-Tut	Trimester 2 starts 2nd week	TF	14:10	15:00	KK204
PHIL	105	1004	L1-Tut	Trimester 2 starts 2nd week	M	14:10	15:00	KP24101
PHIL	105	1004	L1-Tut	Trimester 2 starts 2nd week	T	14:10	15:00	MY631
PHIL	105	1004	L1-Tut	Trimester 2 starts 2nd week	F	11:00	11:50	KK203
